filename, group, element, pixel_nm, pixel_nm_se, diagonal, fractional_standard_error, smallest_period_pixels, smallest_period_se, pixels_x, pixels_y, field_of_view_x, field_of_view_y
datasets\pilens_2_ss\usaf_test_2_raw.jpg, 7, 6, 85.4199594412, 0.166263120665, 350.42694822, 0.00194642003757, 51.3301271142, 0.0999099879463, 3280, 2464, 280.177466967, 210.474780063
datasets\pilens_2_ss\usaf_test_1a_raw.jpg, 7, 6, 85.5596751028, 0.128579755024, 351.000117924, 0.0015028078925, 51.2463069892, 0.0770133546046, 3280, 2464, 280.635734337, 210.819039453
datasets\pilens_2_ss\usaf_test_1b_raw.jpg, 7, 6, 54.2869519496, 0.0958411118999, 222.706859431, 0.00176545391587, 80.7674260342, 0.142591168567, 3280, 2464, 178.061202395, 133.763049604
datasets\pilens_2_ss\usaf_test_3.jpg, 7, 6, 85.5795785477, 0.13494025693, 351.081769842, 0.00157678104076, 51.2343885144, 0.0807854124443, 3280, 2464, 280.701017636, 210.868081542
datasets\ac127_100x_plan\usaf_1.jpg, 7, 6, 43.1999297014, 0.125665339933, 177.223445523, 0.0029089246395, 101.49593776, 0.295244034159, 3280, 2464, 141.695769421, 106.444626784
datasets\ac127_100x_plan\usaf_0.jpg, 7, 6, 42.9795065382, 0.0788055784723, 176.319181263, 0.00183356173255, 102.016466204, 0.187053488521, 3280, 2464, 140.972781445, 105.90150411
datasets\pc16_40x_achromat\usaf_1.jpg, 7, 6, 131.218737359, 0.111328550525, 538.311911908, 0.000848419614198, 33.4145676484, 0.0283495745928, 3280, 2464, 430.397458537, 323.322968852
datasets\pc16_40x_achromat\usaf_3.jpg, 7, 6, 130.779084595, 0.224009172457, 536.50827986, 0.00171288224834, 33.5269006493, 0.057427632964, 3280, 2464, 428.955397471, 322.239664441
datasets\pc16_40x_achromat\usaf_2.jpg, 7, 6, 131.213192962, 0.108667410518, 538.289166566, 0.00082817442412, 33.4159795768, 0.0276742596424, 3280, 2464, 430.379272914, 323.309307457
datasets\pc16_40x_achromat\usaf_4.jpg, 7, 6, 130.8880562, 0.167564513688, 536.955325109, 0.00128021240863, 33.498987635, 0.0428858196467, 3280, 2464, 429.312824336, 322.508170477
datasets\pc16_40x_achromat\usaf_0.jpg, 7, 6, 130.904180885, 0.166610073419, 537.021475036, 0.00127276357633, 33.4948612533, 0.0426310393974, 3280, 2464, 429.365713302, 322.5479017
datasets\ac127_40x_EP\usaf_1.jpg, 7, 6, 105.983727085, 0.154941461747, 434.787774268, 0.0014619363369, 41.3706660143, 0.0604812799283, 3280, 2464, 347.62662484, 261.143903539
datasets\ac127_40x_EP\usaf_0.jpg, 7, 6, 106.116602681, 0.134221713933, 435.332883278, 0.00126485121594, 41.3188630754, 0.0522622142021, 3280, 2464, 348.062456794, 261.471309007
datasets\ac127_100x_EP\usaf_0.jpg, 7, 6, 41.768399901, 0.0684132876407, 171.350735883, 0.00163791976237, 104.974511511, 0.17193982695, 3280, 2464, 137.000351675, 102.917337356
datasets\pc16_40x_plan\usaf_test_1_raw.jpg, 7, 6, 131.541827493, 0.119013517827, 539.637357279, 0.000904757977708, 33.3324955245, 0.0301578412427, 3280, 2464, 431.457194178, 324.119062944
datasets\pc16_40x_plan\usaf_test_2_raw.jpg, 7, 6, 131.654538924, 0.117752493963, 540.099744792, 0.000894405122114, 33.3039590739, 0.0297872315824, 3280, 2464, 431.82688767, 324.396783908
datasets\pc16_40x_plan\usaf_0.jpg, 7, 6, 131.42613358, 0.127073732721, 539.162734424, 0.00096688329223, 33.3618379905, 0.0322570037511, 3280, 2464, 431.077718142, 323.833993141
datasets\ac127_40x_plan\usaf_0.jpg, 7, 6, 108.783541176, 0.0877427735732, 446.273735087, 0.000806581332293, 40.3058893727, 0.0325099779495, 3280, 2464, 356.810015057, 268.042645458
datasets\longtube_100x_plan\usaf_0.jpg, 7, 6, 510.325772529, 2.88986357249, 2093.56108614, 0.00566278194841, 8.59180079124, 0.048653494425, 3280, 2464, 1673.8685339, 1257.44270351
datasets\6led_webcam\usaf_1.jpg, 7, 6, 424.849601712, 0.460137763097, 339.87968137, 0.00108306036123, 10.320398933, 0.0111776149964, 640, 480, 271.903745096, 203.927808822
datasets\6led_webcam\usaf_0.jpg, 7, 6, 476.750659024, 0.548099638719, 381.400527219, 0.0011496568035, 9.19687743103, 0.0105732527095, 640, 480, 305.120421775, 228.840316332
datasets\ac127_100x_EP_2a\usaf_0.jpg, 7, 6, 41.768399901, 0.0684132876407, 171.350735883, 0.00163791976237, 104.974511511, 0.17193982695, 3280, 2464, 137.000351675, 102.917337356
datasets\logitech_c270\usaf_1.jpg, 7, 6, 419.292605021, 0.750060448824, 335.434084017, 0.00178887116024, 10.4571779318, 0.0187065440198, 640, 480, 268.347267213, 201.26045041
datasets\logitech_c270\usaf_0.jpg, 7, 6, 271.420683126, 0.479669348905, 398.609712644, 0.00176725422463, 16.1543229709, 0.0285487955164, 1280, 720, 347.418474401, 195.422891851
datasets\longtube_40x_plan\usaf_0.jpg, 7, 6, 28.8598437788, 0.0753781121317, 118.394659137, 0.00261186833545, 151.92796641, 0.396815844734, 3280, 2464, 94.6602875943, 71.1106550709
datasets\ac127_100x_EP_bad_oil\usaf_test_raw.jpg, 7, 6, 41.756839899, 0.0779321113653, 171.303312116, 0.00186633163702, 105.003572752, 0.195971489826, 3280, 2464, 136.962434869, 102.888853511
